slot_id,day_of_week,starts_at,ends_at,relevant_year_groups
1,1,09:00:00,10:00:00,1; 2
2,2,09:00:00,10:00:00,1; 2
3,3,09:00:00,10:00:00,1; 2
4,4,09:00:00,10:00:00,1; 2
5,5,09:00:00,10:00:00,1; 2
6,1,10:00:00,11:00:00,1; 2
7,2,10:00:00,11:00:00,1; 2
8,3,10:00:00,11:00:00,1; 2
9,4,10:00:00,11:00:00,1; 2
10,5,10:00:00,11:00:00,1; 2
11,1,11:00:00,12:00:00,1; 2
12,2,11:00:00,12:00:00,1; 2
13,3,11:00:00,12:00:00,1; 2
14,4,11:00:00,12:00:00,1; 2
15,5,11:00:00,12:00:00,1; 2
16,1,13:00:00,14:00:00,1; 2
17,2,13:00:00,14:00:00,1; 2
18,3,13:00:00,14:00:00,1; 2
19,4,13:00:00,14:00:00,1; 2
20,5,13:00:00,14:00:00,1; 2
21,1,14:00:00,15:00:00,1; 2
22,2,14:00:00,15:00:00,1; 2
23,3,14:00:00,15:00:00,1; 2
24,4,14:00:00,15:00:00,1; 2
25,5,14:00:00,15:00:00,1; 2
26,1,15:00:00,16:00:00,1; 2
27,2,15:00:00,16:00:00,1; 2
28,3,15:00:00,16:00:00,1; 2
29,4,15:00:00,16:00:00,1; 2
30,5,15:00:00,16:00:00,1; 2
